team_name,count
Sant Seva Bhakt Mandal,1
Vitthal Anna Foundation,1
Jai Hari Mandal,1
Om Bhakt Seva Group,1
Mauli Bhakt Sangh,1
Gajanan Dindi Annadan Team,1
Tukaram Maharaj Seva Mandal,1
Sant Sohala Trust,1
Namdev Bhakt Samiti,1
Shree Vitthal Dindi Sevak Mandal,1
Bhakt Unity Team,1
Narayani Mahila Group,1
Varkari Bhakt Mandal,1
Jai Malhar Mandal,1
Palkhi Seva Samiti,1
Bhakt Dindi Mahasangh,1
Haripath Seva Mandal,1
Swami Samarth Group,1
Tulsi Bhakt Parivar,1
Ganraj Mandal,1
Sai Bhakt Group,1
Gavran Annadan Mandal,1
Shree Bhakti Parivar,1
Path Seva Team,1
Sant Charan Mandal,1
Vithu Mauli Seva Patas,1
Morya Bhakt Mandal,1
Dindi Food Seva,1
Sant Tukaram Food Trust,1
Shree Palkhi Jal Seva,1
